endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-31 09:55,Röyksopp,Poor Leno,235840,6EUs3FH5StArwbc07i3OYG,0.559,0.842,10.0,-8.326,0.0,0.0353,0.000441,0.349,0.137,0.805,123.772,4.0
2022-08-31 10:01,Eli & Fur,I Can’t Move,308475,7ArMgAvKcEXp0K9nIsJbqP,0.662,0.695,5.0,-11.871,0.0,0.037,0.0894,0.293,0.0805,0.126,124.983,4.0
2022-08-31 10:08,Mihai Popoviciu,Travelling Without Moving,431040,7FBIOHDBqXHcwQBtco6ef4,0.809,0.622,4.0,-7.617,0.0,0.0959,0.00798,0.874,0.0563,0.335,125.016,4.0
2022-08-31 10:15,Marvin & Guy,Idra,453790,030SHdrUqF7XCPfPYzxDfy,0.735,0.72,7.0,-9.068,1.0,0.0387,5.24e-05,0.746,0.104,0.0399,120.002,4.0
2022-08-31 10:21,Dude Energy,Renee Running,333516,3kymkQHE5mFHlZk1kvI4J0,0.699,0.946,10.0,-8.563,0.0,0.0692,0.000353,0.9,0.0819,0.399,122.019,4.0
2022-08-31 10:52,Caterina Barbieri,Fantas,67933,27VgR44LkXoJXnYVE9P5Tb,0.174,0.00131,2.0,-29.752,0.0,0.0458,0.867,0.787,0.105,0.0795,69.696,3.0
2022-08-31 10:57,Possible,Cloud,253820,2VCqwAVx3zIcLBYxn4h9R5,0.379,0.471,1.0,-14.738,1.0,0.0618,0.451,0.0112,0.124,0.0789,182.952,3.0
2022-08-31 10:59,Henri Bergmann,Mind Control,5140,1fiBrHJAfPmZy3Et9j8Ktp,0.722,0.759,7.0,-5.745,1.0,0.0696,0.00365,0.701,0.141,0.325,124.004,4.0
2022-08-31 10:59,Tomas Novoa,Geminis,143070,4p9KiaYuUIjVLMf1fnbE2z,0.675,0.572,7.0,-12.934,1.0,0.0529,0.17,0.876,0.0782,0.0398,123.0,4.0
2022-08-31 11:03,Henri Bergmann,Mind Control,214450,1fiBrHJAfPmZy3Et9j8Ktp,0.722,0.759,7.0,-5.745,1.0,0.0696,0.00365,0.701,0.141,0.325,124.004,4.0
2022-08-31 11:09,Jupiter,Sage comme une image - Club Mix,363868,0xyer90vTm3YiTizIzRuD3,0.724,0.682,4.0,-8.038,1.0,0.0294,0.0639,0.0746,0.0952,0.963,115.391,4.0
2022-08-31 11:17,Roland Tings,Pala,499786,1DGDUG0aYbFyXTjn9pK6DX,0.801,0.684,7.0,-9.612,0.0,0.0551,0.00061,0.0364,0.0917,0.641,120.002,4.0
2022-08-31 11:34,Jupiter,Chocolate,55245,1Wu853OKOxFQP2sjo3M7Xs,0.359,0.57,11.0,-11.611,0.0,0.0338,0.00385,0.881,0.066,0.218,129.909,5.0
2022-08-31 11:44,Röyksopp,Speed King,592972,3AHzNfksnT7en2Ir8sIUc9,0.547,0.836,11.0,-6.979,0.0,0.0385,0.0114,0.862,0.355,0.277,109.996,4.0
2022-08-31 11:50,Deepbass,Iridescence,365736,4M4TSNDtFsw40cGFdAOFEo,0.53,0.358,1.0,-19.476,0.0,0.0517,0.746,0.935,0.17,0.173,125.996,3.0
2022-08-31 11:50,INVŌKER,Lovestung - Mixed,15131,ID not found,,,,,,,,,,,,
2022-08-31 12:43,Maz Nimra,Dance Of The Mystic,9513,0McBkQdA65fEg0BHWcPF63,0.741,0.74,7.0,-12.584,0.0,0.0412,0.00693,0.892,0.0985,0.667,129.998,4.0
2022-08-31 12:43,DJ Psychiatre,"Sit Back, Enjoy",4120,7kU8vHfOGjQkRySQRehsLI,0.684,0.801,10.0,-8.89,0.0,0.0535,0.004,0.82,0.0837,0.461,118.203,4.0
2022-08-31 14:55,Ween Greed,Tubi60,7598,2EOlBy90AbGtLZ5kZZdWGx,0.793,0.868,1.0,-9.126,1.0,0.0472,3.53e-05,0.932,0.108,0.0303,125.998,4.0
2022-08-31 17:29,Röyksopp,The Night,5500,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-08-31 17:29,Röyksopp,The Night,6020,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-08-31 17:44,Röyksopp,The Night,458405,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-08-31 17:49,Tunnelvisions,Who Are You,333194,4BgYMQib8BUGv8X1eAm6Id,0.772,0.486,0.0,-8.697,0.0,0.0503,0.011,0.195,0.083,0.254,122.034,4.0
2022-08-31 17:57,Röyksopp,The Night,458405,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
2022-08-31 18:03,Mathame,Nothing Around Us,345600,6DuTXPpowLA1vk8fzqaLtB,0.589,0.889,10.0,-7.62,0.0,0.0358,0.00369,0.165,0.127,0.309,124.988,4.0
